time;V(Net-_R1-Pad1_);V(Vcmp);
4.91638e-07;0;0.730232;
4.91643e-07;0;0.730758;
4.91648e-07;0;0.731324;
4.91653e-07;0;0.731931;
4.91658e-07;0;0.732578;
4.91663e-07;0;0.733267;
4.91668e-07;0;0.733996;
4.91673e-07;0;0.734766;
4.91678e-07;0;0.735577;
4.91683e-07;0;0.736429;
4.91688e-07;0;0.737322;
4.91693e-07;0;0.738256;
4.91698e-07;0;0.739231;
4.91703e-07;0;0.740248;
4.91708e-07;0;0.741305;
4.91713e-07;0;0.742404;
4.91718e-07;0;0.743544;
4.91723e-07;0;0.744725;
4.91728e-07;0;0.745947;
4.91733e-07;0;0.74721;
4.91738e-07;0;0.748515;
4.91743e-07;0;0.749861;
4.91748e-07;0;0.751248;
4.91753e-07;0;0.752677;
4.91758e-07;0;0.754146;
4.91763e-07;0;0.755657;
4.91768e-07;0;0.757209;
4.91773e-07;0;0.758803;
4.91778e-07;0;0.760437;
4.91783e-07;0;0.762112;
4.91788e-07;0;0.763829;
4.91793e-07;0;0.765587;
4.91798e-07;0;0.767386;
4.91803e-07;0;0.769225;
4.91808e-07;0;0.771106;
4.91813e-07;0;0.773028;
4.91818e-07;0;0.77499;
4.91823e-07;0;0.776993;
4.91828e-07;0;0.779037;
4.91833e-07;0;0.781122;
4.91838e-07;0;0.783247;
4.91843e-07;0;0.785413;
4.91848e-07;0;0.787619;
4.91853e-07;0;0.789866;
4.91858e-07;0;0.792153;
4.91863e-07;0;0.79448;
4.91868e-07;0;0.796847;
4.91873e-07;0;0.799255;
4.91878e-07;0;0.801702;
4.91883e-07;0;0.804189;
4.91888e-07;0;0.806716;
4.91893e-07;0;0.809283;
4.91898e-07;0;0.811889;
4.91903e-07;0;0.814535;
4.91908e-07;0;0.81722;
4.91913e-07;0;0.819944;
4.91918e-07;0;0.822707;
4.91923e-07;0;0.825509;
4.91928e-07;0;0.82835;
4.91933e-07;0;0.831229;
4.91938e-07;0;0.834147;
4.91943e-07;0;0.837104;
4.91948e-07;0;0.840098;
4.91953e-07;0;0.843131;
4.91958e-07;0;0.846202;
4.91963e-07;0;0.84931;
4.91968e-07;0;0.852456;
4.91973e-07;0;0.85564;
4.91978e-07;0;0.85886;
4.91983e-07;0;0.862118;
4.91988e-07;0;0.865413;
4.91993e-07;0;0.868744;
4.91998e-07;0;0.872113;
4.92003e-07;0;0.875517;
4.92008e-07;0;0.878958;
4.92013e-07;0;0.882434;
4.92018e-07;0;0.885947;
4.92023e-07;0;0.889494;
4.92028e-07;0;0.893078;
4.92033e-07;0;0.896696;
4.92038e-07;0;0.90035;
4.92043e-07;0;0.904038;
4.92048e-07;0;0.907761;
4.92053e-07;0;0.911517;
4.92058e-07;0;0.915308;
4.92063e-07;0;0.919133;
4.92068e-07;0;0.922992;
4.92073e-07;0;0.926884;
4.92078e-07;0;0.930808;
4.92083e-07;0;0.934766;
4.92088e-07;0;0.938757;
4.92093e-07;0;0.942779;
4.92098e-07;0;0.946834;
4.92103e-07;0;0.950921;
4.92108e-07;0;0.955039;
4.92113e-07;0;0.959189;
4.92118e-07;0;0.96337;
4.92123e-07;0;0.967581;
4.92128e-07;0;0.971823;
4.92133e-07;0;0.976095;
4.92138e-07;0;0.980397;
4.92143e-07;0;0.984729;
4.92148e-07;0;0.98909;
4.92153e-07;0;0.99348;
4.92158e-07;0;0.997899;
4.92163e-07;0;1.00235;
4.92168e-07;0;1.00682;
4.92173e-07;0;1.01133;
4.92178e-07;0;1.01586;
4.92183e-07;0;1.02042;
4.92188e-07;0;1.025;
4.92193e-07;0;1.02961;
4.92198e-07;0;1.03425;
4.92203e-07;0;1.03891;
4.92208e-07;0;1.0436;
4.92213e-07;0;1.04832;
4.92218e-07;0;1.05306;
4.92223e-07;0;1.05782;
4.92228e-07;0;1.06261;
4.92233e-07;0;1.06743;
4.92238e-07;0;1.07226;
4.92243e-07;0;1.07712;
4.92248e-07;0;1.082;
