time;V(Net-_R1-Pad1_);
4.9414e-10;0;
4.9464e-10;0;
4.9514e-10;0;
4.9564e-10;0;
4.9614e-10;0;
4.9664e-10;0;
4.9714e-10;0;
4.9764e-10;0;
4.9814e-10;0;
4.9864e-10;0;
4.9914e-10;0;
4.9964e-10;0;
5.0014e-10;0;
5.0064e-10;0;
5.0114e-10;0;
5.0164e-10;0;
5.0214e-10;0;
5.0264e-10;0;
5.0314e-10;0;
5.0364e-10;0;
5.0414e-10;0;
5.0464e-10;0;
5.0514e-10;0;
5.0564e-10;0;
5.0614e-10;0;
5.0664e-10;0;
5.0714e-10;0;
5.0764e-10;0;
5.0814e-10;0;
5.0864e-10;0;
5.0914e-10;0;
5.0964e-10;0;
5.1014e-10;0;
5.1064e-10;0;
5.1114e-10;0;
5.1164e-10;0;
5.1214e-10;0;
5.1264e-10;0;
5.1314e-10;0;
5.1364e-10;0;
5.1414e-10;0;
5.1464e-10;0;
5.1514e-10;0;
5.1564e-10;0;
5.1614e-10;0;
5.1664e-10;0;
5.1714e-10;0;
5.1764e-10;0;
5.1814e-10;0;
5.1864e-10;0;
5.1914e-10;0;
5.1964e-10;0;
5.2014e-10;0;
5.2064e-10;0;
5.2114e-10;0;
5.2164e-10;0;
5.2214e-10;0;
5.2264e-10;0;
5.2314e-10;0;
5.2364e-10;0;
5.2414e-10;0;
5.2464e-10;0;
5.2514e-10;0;
5.2564e-10;0;
5.2614e-10;0;
5.2664e-10;0;
5.2714e-10;0;
5.2764e-10;0;
5.2814e-10;0;
5.2864e-10;0;
5.2914e-10;0;
5.2964e-10;0;
5.3014e-10;0;
5.3064e-10;0;
5.3114e-10;0;
5.3164e-10;0;
5.3214e-10;0;
5.3264e-10;0;
5.3314e-10;0;
5.3364e-10;0;
5.3414e-10;0;
5.3464e-10;0;
5.3514e-10;0;
5.3564e-10;0;
5.3614e-10;0;
5.3664e-10;0;
5.3714e-10;0;
5.3764e-10;0;
5.3814e-10;0;
5.3864e-10;0;
5.3914e-10;0;
5.3964e-10;0;
5.4014e-10;0;
5.4064e-10;0;
5.4114e-10;0;
5.4164e-10;0;
5.4214e-10;0;
5.4264e-10;0;
5.4314e-10;0;
5.4364e-10;0;
5.4414e-10;0;
5.4464e-10;0;
5.4514e-10;0;
5.4564e-10;0;
5.4614e-10;0;
5.4664e-10;0;
5.4714e-10;0;
5.4764e-10;0;
5.4814e-10;0;
5.4864e-10;0;
5.4914e-10;0;
5.4964e-10;0;
5.5014e-10;0;
5.5064e-10;0;
5.5114e-10;0;
5.5164e-10;0;
